280.32,2,19,43
298.79,3,73,59
9.2025,100,56,36
439.3,5,91,6
112.91,9,57,76
82.11,11,7,71
268.45,12,40,67
279.06,13,25,8
54.29,14,51,60
371.15,15,90,62
234.36,16,21,21
331.45,17,71,97
415.03,20,72,6
383.82,21,71,7
207.2,22,92,35
474.9,24,83,41
433.17,27,98,57
167.81,28,63,87
262.94,31,41,31
221.02,32,16,81
490.35,33,8,83
268.53,34,95,11
460.37,40,14,77
71.66,42,100,95
353.16,53,86,97
192.43,54,59,43
490.71,55,22,62
137.18,57,29,67
169.03,60,15,10
181.34,63,3,18
166.83,66,38,65
366.02,69,46,50
282.27,70,24,83
40.07,73,44,20
81,74,65,36
273.41,77,72,95
405.85,78,4,5
126.63,82,83,69
82.87,84,67,9
57.55,87,97,39
227.15,88,13,46
368.26,89,75,3
488.47,90,72,45
25.21,91,34,57
313.92,92,64,53
164.03,93,60,1
446.23,94,30,86
449.35,96,27,53
434.8,3,15,9
115.34,4,3,55
193.28,5,12,6
189.27,6,13,38
183.35,9,87,24
447.92,11,28,63
441.66,12,14,8
13.58,13,12,79
493.3,15,35,40
30.34,18,66,90
305.26,20,56,76
236.28,21,65,51
394.68,23,100,75
236.68,24,79,20
175.41,25,1,28
86.13,27,57,86
318.31,30,72,67
271.9,31,47,46
48.43,32,57,1
229.12,33,32,93
234.12,34,34,100
397.13,35,88,29
327.03,36,64,67
34.17,38,82,96
205.47,39,64,67
331.68,40,66,46
449.73,42,45,61
39.49,47,50,23
271.21,49,3,7
349.17,51,100,24
470.95,53,73,40
75.26,54,41,22
380.87,55,56,55
29.75,59,89,25
433.43,61,35,54
233.32,62,33,14
166.67,65,88,16
34.54,66,47,47
395.58,72,21,68
421.6,73,47,74
450.84,75,14,3
341.05,78,49,54
325.86,81,79,17
486.95,82,6,51
363.92,86,99,96
9.2025,4,22,80
197.16,88,52,43
469.15,90,45,18
243.67,93,53,17
142.88,95,31,66
331.99,97,93,64
482.19,99,80,85
32.8,1,62,83
115.92,2,49,88
127.97,12,70,92
391.96,16,96,5
404.23,17,52,73
205,18,83,27
311.41,19,54,31
93.67,20,89,4
119.98,21,67,77
118.84,25,85,80
434.41,26,14,40
239.66,27,92,88
318.19,30,17,22
23.79,31,49,54
158.06,32,25,56
343.86,35,50,5
337.22,36,55,75
437.69,38,90,93
492.53,41,12,45
306.21,42,75,51
35.5,43,35,12
21.93,44,93,5
279.97,46,50,5
119.38,47,6,48
34.8,48,57,56
76.98,49,67,59
252.74,50,3,88
492.27,51,12,92
287.96,52,51,60
132.75,53,34,14
415.74,55,2,32
172.75,56,11,97
289.07,58,3,18
15.38,60,4,67
32.26,61,6,96
339.11,62,6,37
444.11,63,1,70
410.19,66,99,19
256.7,69,86,69
457.74,71,23,95
441.32,73,84,22
232.12,74,46,22
323.84,75,47,78
256.64,80,81,12
133.44,81,17,87
116.36,82,46,91
51.73,83,73,60
51.41,86,63,63
330.73,88,68,4
117.46,91,42,11
135.3,92,62,92
356.17,94,27,24
171.59,95,84,91
322.22,96,76,47
417.53,97,78,82
399.41,98,65,81
48.81,99,53,43
115.4,2,17,44
161.84,5,54,41
440.18,6,79,77
271.93,8,27,86
331.78,9,74,84
364.12,11,29,5
439.79,15,29,74
151.1,16,97,79
430.74,18,3,82
21.84,20,32,46
60.33,22,84,96
275.29,25,17,86
35.92,26,31,34
212.81,30,60,52
490.98,31,90,70
190.83,34,27,40
318.32,36,49,47
83.58,37,47,24
497.55,38,9,58
406.2,39,99,44
487.68,42,7,99
244.61,48,97,93
197.48,49,57,48
274.75,50,14,80
333.69,51,86,40
462.59,54,48,46
228.85,55,29,65
62.73,56,64,54
224.1,57,31,94
141.62,59,26,96
119.34,61,58,48
309.02,63,90,78
443.14,64,24,33
492.11,66,79,81
268.85,67,46,34
449.01,68,61,89
171.81,70,88,32
287.66,73,17,44
9.2025,72,56,20
457.34,75,83,99
482.44,76,62,17
419.24,77,37,34
9.2025,5,91,71
173.24,80,20,46
81.37,81,12,41
275.87,83,43,16
258.31,85,71,28
